id,zip_code,created_at,updated_at
253,8024,2021-09-20 10:21:50,2021-09-20 10:21:50
254,8020,2021-09-20 10:21:50,2021-09-20 10:21:50
255,8023,2021-09-20 10:21:50,2021-09-20 10:21:50
256,8001,2021-09-20 10:21:50,2021-09-20 10:21:50
257,8002,2021-09-20 10:21:50,2021-09-20 10:21:50
258,8000,2021-09-20 10:21:50,2021-09-20 10:21:50
259,1920,2021-09-20 10:21:50,2021-09-20 10:21:50
260,1960,2021-09-20 10:21:50,2021-09-20 10:21:50
261,1910,2021-09-20 10:21:50,2021-09-20 10:21:50
262,1913,2021-09-20 10:21:50,2021-09-20 10:21:50
263,1914,2021-09-20 10:21:50,2021-09-20 10:21:50
264,1911,2021-09-20 10:21:50,2021-09-20 10:21:50
265,1915,2021-09-20 10:21:50,2021-09-20 10:21:50
266,1912,2021-09-20 10:21:50,2021-09-20 10:21:50
267,1982,2021-09-20 10:21:50,2021-09-20 10:21:50
268,1983,2021-09-20 10:21:50,2021-09-20 10:21:50
269,1980,2021-09-20 10:21:50,2021-09-20 10:21:50
270,1984,2021-09-20 10:21:50,2021-09-20 10:21:50
271,1981,2021-09-20 10:21:50,2021-09-20 10:21:50
272,1990,2021-09-20 10:21:50,2021-09-20 10:21:50
273,1992,2021-09-20 10:21:50,2021-09-20 10:21:50
274,1991,2021-09-20 10:21:50,2021-09-20 10:21:50
275,1991,2021-09-20 10:21:50,2021-09-20 10:21:50
276,1973,2021-09-20 10:21:50,2021-09-20 10:21:50
277,1974,2021-09-20 10:21:50,2021-09-20 10:21:50
278,1970,2021-09-20 10:21:50,2021-09-20 10:21:50
279,1977,2021-09-20 10:21:50,2021-09-20 10:21:50
280,1976,2021-09-20 10:21:50,2021-09-20 10:21:50
281,1972,2021-09-20 10:21:50,2021-09-20 10:21:50
282,1975,2021-09-20 10:21:50,2021-09-20 10:21:50
283,1971,2021-09-20 10:21:50,2021-09-20 10:21:50
284,1930,2021-09-20 10:21:50,2021-09-20 10:21:50
285,1997,2021-09-20 10:21:50,2021-09-20 10:21:50
286,1996,2021-09-20 10:21:50,2021-09-20 10:21:50
287,1941,2021-09-20 10:21:50,2021-09-20 10:21:50
288,1944,2021-09-20 10:21:50,2021-09-20 10:21:50
289,1942,2021-09-20 10:21:50,2021-09-20 10:21:50
290,1940,2021-09-20 10:21:50,2021-09-20 10:21:50
291,1945,2021-09-20 10:21:50,2021-09-20 10:21:50
292,1943,2021-09-20 10:21:50,2021-09-20 10:21:50
293,1937,2021-09-20 10:21:50,2021-09-20 10:21:50
294,1936,2021-09-20 10:21:50,2021-09-20 10:21:50
295,1938,2021-09-20 10:21:50,2021-09-20 10:21:50
